"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.527145000E-1,-7.487888816E-1,2.749201171E0,2.796135017E0,3.992137635E0
9.627225000E-1,2.223470995E-1,6.836891985E-1,3.804584420E0,3.871915774E0
9.727304999E-1,1.451559591E-1,-4.421110745E0,5.681490358E0,7.200459927E0
9.827395000E-1,-1.788473234E0,-6.605692493E0,4.482178773E0,8.180692903E0
9.927475000E-1,-3.491337675E0,-5.427089700E0,2.619024024E0,6.964339754E0
1.002755500E0,-1.962249267E0,-3.277946756E0,-5.272807114E-1,3.856602400E0
1.012764500E0,-5.053295329E-2,-1.657128398E0,-2.187792893E0,2.745007441E0
1.022772500E0,-5.559811847E-1,-1.075407624E0,-1.891176653E0,2.245476735E0
1.032780500E0,-1.663123402E0,-1.787501426E0,-1.771391909E0,3.016449916E0
1.042789500E0,-9.134996109E-1,-2.047037694E0,-1.593642254E0,2.750370974E0
1.052797500E0,4.249644508E-1,-8.193884557E-1,-1.855882128E-1,9.415068829E-1
1.062805500E0,1.372697317E0,-1.704726487E-1,1.933550255E0,2.377388365E0
1.072813500E0,1.433317740E-1,6.383773702E-1,1.697620951E0,1.819336845E0
1.082822542E0,-1.265009000E0,2.137136271E0,8.243604163E-1,2.616709634E0
1.092830542E0,-7.900816262E-1,2.411080078E0,-9.453860128E-1,2.707635654E0
1.102838542E0,2.584597957E-1,2.728263461E0,-2.178975584E0,3.501165174E0
1.112847542E0,5.263148975E-1,3.121882231E0,-2.207095867E0,3.859330020E0
1.122855542E0,2.880043146E-1,2.960107901E0,-1.276076317E0,3.236287385E0
1.132863542E0,8.933583650E-1,4.027456892E0,-1.332826030E-1,4.127500749E0
1.142872542E0,3.315566426E-1,4.201427929E0,-4.579773188E-1,4.239300612E0
1.152880542E0,-7.686604978E-1,3.374238703E0,-2.189489901E-1,3.467602118E0
1.162888542E0,-1.400536349E0,2.760350057E0,7.039135480E-1,3.174354861E0
1.172896542E0,-1.543284279E0,1.428045014E0,3.955853350E-1,2.139515525E0
1.182905542E0,-5.385686881E-1,7.643234718E-1,-4.366523771E-1,1.031945686E0
1.192913542E0,-2.405504320E-1,1.204253944E0,-1.107298923E0,1.653542553E0
1.202921542E0,1.833574270E-1,1.858239287E0,-1.094726093E0,2.164508816E0
1.212930542E0,1.347321278E0,5.810640734E0,1.417450590E0,6.130904219E0
1.222938542E0,1.768994258E0,4.385413494E0,8.373167498E-1,4.802321473E0
1.232946542E0,9.249236816E-1,1.843382682E0,-8.389185946E-1,2.226505768E0
1.242954542E0,-2.793899626E0,1.012072923E0,-2.288044867E0,3.750375453E0
1.252963542E0,-4.361050192E0,-1.069213083E0,-1.504054724E0,4.735415083E0
1.262971542E0,-2.727136118E0,6.644898659E-1,-4.973303957E-1,2.850641280E0
1.272979542E0,-4.373233451E-1,3.034648790E0,-3.148303168E-1,3.082119906E0
1.282988542E0,1.208886035E0,4.917547540E0,-1.226295316E0,5.210324314E0
1.292996542E0,1.580760692E0,4.446936142E0,-1.981559550E0,5.118654479E0
1.303004542E0,1.495668940E0,6.972295958E-1,-2.083920615E0,2.658172270E0
1.313013542E0,4.886235993E-1,-1.746760951E0,-2.008893968E0,2.706581205E0
1.323021542E0,-8.157545574E-1,-2.128711018E0,-1.497213335E0,2.727363905E0
1.333029542E0,-1.481668366E0,-2.619690022E0,-8.250351119E-1,3.120705032E0
1.343037542E0,-2.202209642E0,-2.263634934E0,-2.025662613E-1,3.164617435E0
1.353046542E0,-1.884000073E0,-1.767513889E-1,8.114765882E-2,1.894012215E0
1.363054542E0,-6.825465064E-1,2.117054009E0,1.034612039E0,2.453203921E0
1.373062542E0,-6.956844690E-1,2.807241803E0,1.974753391E0,3.502032892E0
1.383071542E0,3.107844821E-1,1.478834513E0,1.898985025E0,2.426866835E0
1.393079542E0,-5.259305893E-1,-5.341033888E-1,1.377110795E0,1.567897814E0
1.403087542E0,-9.447507128E-1,-2.681419662E0,-9.742241880E-1,3.005275043E0
1.413096542E0,1.206549561E-1,-3.810906429E0,-4.354700701E-1,3.837603368E0
1.423104542E0,8.931749086E-1,-4.605254769E0,-4.175319819E-1,4.709614194E0
1.433112542E0,1.534661974E0,-4.460101148E0,-7.021316090E-1,4.768718741E0
1.443120542E0,1.706987313E0,-3.955995730E0,7.820650935E-2,4.309271883E0
1.453129542E0,1.273075088E0,-2.503200622E0,3.842497766E-1,2.834498443E0
1.463137542E0,4.718708879E-1,-7.450609893E-1,7.258242345E-1,1.142190366E0
1.473145542E0,6.732334998E-1,1.745150628E0,3.301887596E-1,1.899425881E0
1.483154542E0,1.562697034E0,3.364152256E0,7.218666928E-1,3.778972605E0
1.493162542E0,1.120507490E0,3.247831256E0,8.556275980E-1,3.540627556E0
1.503170542E0,-1.133692669E0,3.487346073E0,9.487447996E-1,3.787737900E0
1.513179542E0,-2.868475307E0,4.467007880E0,8.072829652E-1,5.369731443E0
1.523187542E0,9.805774802E-1,4.573107362E-3,-3.867886376E-1,1.054115059E0
1.533195542E0,1.425824533E0,1.230317908E0,-1.221857572E-1,1.887216764E0
1.543203542E0,1.430414013E0,-1.975481808E-1,2.101183788E0,2.549526004E0
1.553212542E0,6.568802994E-1,-2.447057412E0,1.977454366E0,3.214017342E0
1.563220542E0,4.507451901E-1,-2.529116067E0,1.655547603E0,3.056212881E0
1.573228542E0,-1.820323017E-1,-5.107762728E0,2.784599337E0,5.820340996E0
1.583237542E0,-1.368946036E0,-7.074225206E0,2.061426523E0,7.494541668E0
1.593245542E0,-1.491299900E0,-5.619114600E0,1.043202914E0,5.906496136E0
1.603253542E0,-6.326900759E-1,-2.051423691E0,-3.099515462E-1,2.169033391E0
1.613261542E0,6.271045232E-1,8.753001165E-1,-1.025455737E0,1.486933034E0
1.623270542E0,5.858000842E-1,6.916431659E-1,-2.214215437E0,2.392547180E0
1.633278542E0,9.173857436E-1,-1.996894312E-1,-3.318380252E0,3.448640307E0
1.643286542E0,1.446422812E0,-4.960690051E-1,-2.583892198E0,3.002452714E0
1.653295542E0,1.240891428E0,-7.265814489E-1,-2.021758866E0,2.480975826E0
1.663303542E0,1.826505278E0,-7.549392754E-1,-2.150763792E0,2.920931312E0
1.673311542E0,2.195159069E0,-1.847974500E0,-1.581853098E0,3.276582414E0
1.683320542E0,1.891166420E0,-3.416580731E0,4.376208222E-1,3.929509677E0
1.693328542E0,1.801163446E0,-4.521119767E0,9.344154668E-1,4.955587349E0
1.703336542E0,2.302602534E0,-3.474091020E0,-4.423330933E-2,4.168122291E0
1.713344542E0,2.223245000E0,-1.980947785E0,-1.035168840E0,3.152546111E0
1.723353542E0,1.164065154E0,-9.455351168E-1,-1.049088575E0,1.830210692E0
1.733361542E0,8.828246060E-1,8.387596965E-2,-4.026883864E-1,9.739468157E-1
1.743369542E0,8.113406405E-1,-5.457422715E-1,-1.468767947E0,1.764479397E0
1.753378542E0,2.469252858E-1,-1.266268929E0,-8.660053825E-1,1.553825736E0
1.763386542E0,4.529229856E-1,-7.504959762E-2,1.376325953E0,1.450877252E0
1.773394542E0,1.582189313E-1,2.782526207E-1,1.027381810E0,1.076090672E0
1.783402542E0,-9.588761240E-2,9.282706279E-1,5.267288804E-1,1.071598855E0
1.793411542E0,-3.755453190E-1,5.576501262E-1,8.493300006E-2,6.776588850E-1
1.803419542E0,-1.106562173E-1,1.044295174E0,-3.275712535E-2,1.050652292E0
1.813427542E0,-2.566696706E-1,2.277741927E0,1.422605641E-1,2.296568238E0
1.823436542E0,-2.803269204E-1,3.232194048E0,9.561513215E-3,3.244341685E0
1.833444542E0,-6.289966822E-2,2.652108740E0,-2.392635329E-1,2.663622378E0
1.843452542E0,-4.538240415E-1,5.554112273E-1,-4.973781967E-1,8.728247033E-1
1.853461542E0,1.011726183E-1,-1.843273339E0,-7.192357381E-1,1.981209869E0
1.863469542E0,8.895828179E-1,-2.692971421E0,-1.153525840E0,3.061711046E0
1.873477542E0,1.105037220E0,-1.668638057E0,-1.654364419E0,2.596609684E0
1.883485542E0,7.587683246E-1,-5.639961094E-1,-1.457582370E0,1.737344913E0
1.893494542E0,9.277587041E-1,3.091381985E-1,-2.160307763E0,2.371335546E0
1.903502542E0,3.739452285E-1,1.464484861E0,-1.974449190E0,2.486564004E0
1.913510542E0,-4.657336503E-2,5.303716958E-2,-1.090651826E0,1.092933404E0
1.923519542E0,2.832984754E-1,-1.715066704E0,-5.768523093E-1,1.831521338E0
1.933527542E0,6.732045561E-1,-1.398952777E0,-6.143060645E-1,1.669624265E0
1.943535542E0,4.626509982E-1,-6.806211644E-1,-9.415642726E-1,1.250533644E0
1.953544542E0,1.206251645E0,-1.757773013E0,-9.295482445E-1,2.325697516E0
1.963552542E0,1.750628592E0,-1.170930077E0,-1.511348541E0,2.592287045E0
1.973560542E0,1.428860700E0,-1.313789835E0,-1.299248979E0,2.335751387E0
1.983568542E0,1.251171710E0,-1.795057783E0,-1.212738254E0,2.501678869E0
1.993577542E0,1.174906769E0,-1.877974809E0,-9.871526742E-1,2.425214568E0
2.003585542E0,8.050858739E-1,-2.310317350E0,-2.727410352E-1,2.461730528E0
2.013593542E0,8.776238000E-1,-1.993967780E0,3.232498688E-1,2.202412659E0
2.023602542E0,6.626962325E-1,-1.551203163E0,1.451553835E-1,1.693064569E0
2.033610542E0,6.987715065E-2,-1.531457700E0,1.364290080E-1,1.539109605E0
2.043618542E0,-2.240272969E-2,-1.722983249E0,1.196562882E-1,1.727278433E0
2.053626542E0,1.597298518E-1,-1.144607082E0,4.004319094E-1,1.223104538E0
2.063635542E0,3.002311349E-1,-9.058021170E-1,7.861248153E-1,1.236369053E0
2.073643542E0,3.992011070E-1,-6.550559682E-1,7.818499160E-1,1.095330606E0
2.083652042E0,6.327179964E-1,4.930956960E-3,6.611090058E-1,9.151073679E-1
2.093661042E0,1.333912589E0,7.923386514E-1,2.285793543E-1,1.568238456E0
2.103669042E0,1.791824711E0,1.732876153E0,-3.116261888E-1,2.512092044E0
2.113677042E0,1.690558099E0,1.678043888E0,1.289334440E-1,2.385464695E0
