"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.129709708E0	-2.117119205E0	4.000255644E-2	-3.903200635E0	4.440582071E0
1.139718708E0	-1.423605369E0	-3.045130509E-1	-1.170515510E0	1.868016864E0
1.149726708E0	-1.319224237E0	-1.968120164E-1	-1.216069998E0	1.804969196E0
1.159734708E0	-2.249336592E0	4.720311016E-1	-1.964138795E0	3.023271352E0
1.169743708E0	-2.134527536E0	8.328674573E-1	-2.736486693E0	3.569066464E0
1.179751708E0	-1.357738677E0	1.913115406E0	-2.559943757E0	3.472286986E0
1.189759708E0	-1.128088698E0	6.135307968E-1	-9.508899969E-1	1.597872315E0
1.199767708E0	-6.160480962E-1	1.866730614E0	-1.857137087E0	2.704284859E0
1.209776708E0	-6.646972959E-1	2.619908708E0	1.635220635E-1	2.707855904E0
1.219784708E0	3.248187498E-1	1.454553366E0	1.453147695E0	2.081554933E0
1.229792708E0	-4.673906051E-1	2.069264131E0	2.303298352E0	3.131372115E0
1.239801708E0	-1.050313274E0	1.949192142E0	1.801249985E0	2.854296671E0
1.249809708E0	-1.014154970E0	1.472302589E0	8.200930452E-1	1.966910730E0
1.259817708E0	-8.772263356E-1	8.216957670E-1	-6.011259288E-2	1.203463128E0
1.269826708E0	3.856004834E-2	4.303550720E-2	-4.317584038E-2	7.213241574E-2
1.279834708E0	1.197877044E0	-5.997331220E-1	5.785001278E-2	1.340871304E0
1.289842708E0	2.301524453E0	-9.662915629E-1	5.525744507E-1	2.556574411E0
1.299851708E0	2.397520824E0	-6.472943741E-1	9.571310225E-1	2.661427418E0
1.309859708E0	1.939122944E0	-3.735259831E-1	1.510184653E0	2.486036431E0
1.319867708E0	2.249369482E0	-2.061394948E-1	2.850667904E0	3.637095553E0
1.329875708E0	2.106762471E0	-8.030565977E-3	3.097206981E0	3.745824833E0
1.339884708E0	1.281963440E0	-3.340350580E-1	1.884123741E0	2.303243790E0
1.349892708E0	1.613882976E0	-7.581277621E-1	1.362189578E0	2.243866397E0
1.359900708E0	2.222044420E0	-7.674862307E-1	1.424550717E0	2.748792693E0
1.369909708E0	2.053090440E0	-1.135164998E0	2.354578434E0	3.323826037E0
1.379917708E0	1.246211810E0	-2.155932730E-1	3.105545695E0	3.353198235E0
1.389925708E0	1.665429690E0	3.618450004E-1	1.937635120E0	2.580507259E0
1.399934708E0	8.463172958E-1	2.965064585E-1	5.458089298E-1	1.049798282E0
1.409942708E0	1.207878926E0	-4.983184290E-1	8.498343229E-1	1.558688914E0
1.419950708E0	2.314014837E0	-1.176728761E0	2.124646326E0	3.354620285E0
1.429959708E0	3.685740346E0	-1.741776200E0	3.616378335E0	5.449464056E0
1.439967708E0	4.002113305E0	-1.394948019E0	3.300325220E0	5.371679201E0
1.449975708E0	3.634050960E0	-8.373499328E-1	2.521625491E0	4.501785913E0
1.459983708E0	5.743500665E-2	1.281621963E-1	-7.070789382E-1	7.208917765E-1
1.469992708E0	-7.517445029E-1	-1.520162049E0	-1.371876368E0	2.181297142E0
1.480000708E0	-7.372979334E-1	-3.205676925E0	1.931030105E0	3.814295486E0
1.490008708E0	2.139655690E0	3.970551789E-2	1.626625520E0	2.688050145E0
1.500017708E0	3.328142179E0	1.412106673E0	3.268657869E0	4.873879346E0
1.510025708E0	2.209734131E0	2.025491289E0	3.524549860E0	4.626877090E0
1.520033708E0	1.296059323E0	2.801505684E0	2.246885585E0	3.817944303E0
1.530042708E0	1.289662177E0	4.379345838E0	2.978591534E0	5.451046324E0
1.540050708E0	-1.922919725E0	3.409814333E0	3.150628898E0	5.025029005E0
1.550058708E0	-5.336365471E0	-3.483490419E-1	2.346760706E0	5.839985386E0
1.560066708E0	-3.336412480E0	-1.195193684E0	2.595357126E0	4.392722936E0
1.570075708E0	-3.123860052E0	-1.059439462E0	6.226436824E-2	3.299210580E0
1.580083708E0	-4.214167843E0	-1.642833710E-2	-2.483631161E0	4.891615709E0
1.590091708E0	-3.719941880E0	-1.632670079E0	-4.842854038E0	6.321140278E0
1.600100708E0	-2.782968256E0	-3.858261275E0	-5.512622185E0	7.281489939E0
1.610108708E0	4.876987744E0	-4.994411529E0	3.939064533E0	8.015321913E0
1.620116708E0	1.117285850E1	-2.626175753E0	8.074740522E0	1.403321063E1
1.630125708E0	6.610646839E0	2.490419778E0	1.030578074E1	1.249447714E1
1.640133708E0	3.102547243E-1	5.150724560E0	1.166894446E1	1.275893751E1
1.650141708E0	-1.838917455E0	2.244535589E-1	-1.843177883E0	2.613293232E0
1.660149708E0	-9.148129687E-1	-5.213217262E0	-1.705778168E1	1.786007930E1
1.670158708E0	-5.702549690E-1	-4.295131314E0	-1.697772979E1	1.752189066E1
1.680166708E0	-2.995329773E-1	-3.395659393E-1	-9.477763546E0	9.488573489E0
1.690174708E0	1.355225252E0	2.149740529E0	-3.694922229E0	4.484469880E0
1.700183708E0	1.487613231E0	4.263602543E-1	3.982070804E-1	1.597918981E0
1.710191708E0	9.425588840E-1	-1.536683357E0	4.688481697E-1	1.862694713E0
1.720199708E0	1.181062425E0	-3.230863221E0	-4.837660249E-1	3.473818529E0
1.730208708E0	6.400730628E-1	-3.415318317E0	9.419689000E-2	3.476056068E0
1.740216708E0	-2.162852910E-1	-1.740188096E0	1.523750485E0	2.323112024E0
1.750224708E0	1.972771624E-1	1.940686782E0	1.638330769E0	2.547412643E0
1.760232708E0	-4.140296459E-2	3.502423119E0	-6.771736461E-1	3.567526602E0
1.770241708E0	-8.657767564E-1	1.872481935E0	-2.671022436E0	3.374925013E0
1.780249708E0	-2.432790790E0	-8.138762856E-1	-2.377809421E0	3.497834084E0
1.790257708E0	-5.223478541E0	-8.746931756E-1	-1.780073708E0	5.587349875E0
1.800266708E0	-5.971450274E0	-1.828085196E-1	5.629307467E-1	6.000710654E0
1.810274708E0	-4.700790379E0	-2.838378811E-1	9.859037089E-1	4.811444716E0
1.820282708E0	-3.119015634E0	-1.576660185E0	-8.219167918E-1	3.590217692E0
1.830291708E0	-2.385404955E0	-1.645236915E0	-3.028749242E0	4.191692173E0
1.840299708E0	-3.357291426E0	3.789492756E-1	-3.820839095E0	5.100374462E0
1.850307708E0	-3.096290722E0	2.931636053E0	-4.806844545E0	6.425516374E0
1.860315708E0	-3.459049058E0	3.735860925E0	-4.357232253E0	6.701279739E0
1.870324708E0	-4.161045012E0	3.799192702E0	-2.822102209E0	6.301779245E0
1.880332708E0	-2.917777568E0	3.044237639E0	-4.450473708E-1	4.240150457E0
1.890340708E0	-2.336366696E0	3.658286499E0	1.015401158E0	4.457881667E0
1.900349708E0	-3.005024457E0	5.523617874E0	-3.258390158E-1	6.296562354E0
1.910357708E0	-3.579260503E0	5.450142347E0	-2.096545485E0	6.849135735E0
1.920365708E0	-2.488706252E0	4.841436673E0	-2.420474215E0	5.957504787E0
1.930374708E0	-1.770278160E0	4.074342790E0	-1.366906527E0	4.647858366E0
1.940382708E0	-4.833173972E-1	1.124417231E0	1.059853445E0	1.619011779E0
1.950390708E0	-6.604479781E-1	-2.394109704E0	4.980880487E-1	2.532991219E0
1.960398708E0	-2.004426987E0	-3.596915293E0	1.032822644E0	4.245262040E0
1.970407708E0	3.892766279E-1	-5.434783466E0	-2.045385271E-2	5.448745358E0
1.980415708E0	9.037631929E-1	-4.803391764E0	-2.446035903E0	5.465569686E0
1.990423708E0	1.113254019E0	-6.258596510E0	-2.099403019E0	6.694539403E0
2.000432625E0	1.060630540E0	-9.284942254E0	2.413742316E-1	9.348441117E0
2.010440625E0	2.913895601E-1	-9.804848018E0	5.964563423E-1	9.827294272E0
2.020448625E0	-9.929987204E-1	-7.718830445E0	-1.214640353E0	7.876657990E0
2.030457625E0	-3.444545917E0	-4.606799603E0	-2.040902503E0	6.103505729E0
2.040465625E0	-3.328030789E0	-4.568002743E0	2.598034859E-2	5.651823862E0
2.050473625E0	-1.560549937E0	-4.067993299E0	3.822260553E-1	4.373783527E0
2.060481625E0	-2.084693179E-1	-2.701964439E0	2.746945900E-1	2.723881129E0
2.070490625E0	-2.477599758E-1	-1.642475275E0	5.635335946E-1	1.754046792E0
2.080498625E0	-2.236293939E-1	-2.682054670E0	8.701650918E-2	2.692767950E0
2.090506625E0	-4.372799295E-1	-1.790744292E0	-7.241121697E-1	1.980484105E0
2.100515625E0	-7.826474762E-1	-8.756263912E-1	-1.126363769E0	1.627253511E0
2.110523625E0	-1.267429016E0	-1.280645478E0	-1.500225967E-1	1.808019892E0
2.120531625E0	-3.218354273E-1	-1.531841277E0	1.119835353E0	1.924616055E0
2.130539625E0	1.146803004E0	-4.345755923E-1	3.386703798E0	3.601912782E0
2.140548625E0	2.945688082E0	1.915185320E0	4.678299356E0	5.850769005E0
2.150556625E0	2.934299752E0	2.215911714E0	3.993361192E0	5.428380364E0
2.160564625E0	2.329319339E0	1.607721764E0	2.875687263E0	4.034857505E0
2.170573625E0	2.005401718E0	1.036941131E0	2.945407123E0	3.711105776E0
2.180581625E0	1.515489247E0	-1.093814074E0	1.580431055E0	2.447631346E0
2.190589625E0	-1.760855080E0	-7.335378814E-1	-3.995826963E0	4.427789692E0
2.200598625E0	-2.324154347E0	7.749542946E-1	-4.401871651E0	5.037729809E0
2.210606625E0	-1.081446043E0	6.550068516E-1	-1.628983410E0	2.062073343E0
2.220614625E0	1.640067977E0	1.591113918E0	5.079102015E-1	2.340820207E0
2.230622625E0	2.582658436E0	2.828364869E0	-1.643175187E0	4.167708858E0
