"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.484005500E0,2.949501490E-1,6.284587383E-1,-1.573478715E0,1.719823027E0
1.494014500E0,3.654087321E-1,6.202594802E-1,-1.857265141E0,1.991903403E0
1.504023500E0,5.741550618E-1,5.274305463E-1,-1.842927768E0,2.001054666E0
1.514032500E0,7.938027211E-1,5.066390169E-1,-1.303688185E0,1.608231556E0
1.524041500E0,9.433405837E-1,4.808896333E-1,-4.074760866E-1,1.134540902E0
1.534050500E0,9.229433028E-1,4.557074296E-1,4.526312095E-1,1.124441467E0
1.544059500E0,7.220592123E-1,5.059841287E-1,1.127949534E0,1.431663227E0
1.554068500E0,4.504739524E-1,5.322857818E-1,1.604351429E0,1.749342289E0
1.564077500E0,4.088892125E-2,5.926401570E-1,1.859053804E0,1.951659629E0
1.574086500E0,-2.598213930E-1,6.634765434E-1,1.869219773E0,2.000422666E0
1.584095500E0,-3.566422210E-1,7.302324504E-1,1.698530778E0,1.882933857E0
1.594104500E0,-2.910722756E-1,7.559040660E-1,1.360435998E0,1.583319339E0
1.604113500E0,-4.066943139E-2,8.257879409E-1,1.122118691E0,1.393818525E0
1.614122500E0,3.661611226E-1,9.800439218E-1,9.498708272E-1,1.413086920E0
1.624131500E0,6.896274845E-1,1.087202335E0,8.118829697E-1,1.522087034E0
1.634140500E0,7.122214182E-1,1.091416715E0,5.876036578E-1,1.429590100E0
1.644149500E0,5.183811761E-1,9.807707307E-1,3.584717417E-1,1.165818279E0
1.654158500E0,7.764217995E-2,8.403270426E-1,3.887375146E-1,9.291365357E-1
1.664167500E0,-4.849540329E-1,6.489008966E-1,6.591145205E-1,1.044358530E0
1.674176500E0,-8.707916940E-1,2.983667502E-1,9.246909624E-1,1.304742989E0
1.684185500E0,-1.143606843E0,-7.551971376E-2,1.518373386E0,1.902366310E0
1.694194500E0,-1.289567452E0,-3.191737747E-1,2.423873786E0,2.764058654E0
1.704203500E0,-1.217714454E0,-5.044109353E-1,3.235680742E0,3.493835822E0
1.714212500E0,-9.488319232E-1,-6.156328708E-1,3.810275515E0,3.974605056E0
1.724221500E0,-6.733827500E-1,-7.338659102E-1,4.101138241E0,4.220348134E0
1.734230500E0,-4.380641873E-1,-7.985577500E-1,3.900814387E0,4.005739331E0
1.744239500E0,-2.898803937E-1,-7.423990443E-1,3.116599272E0,3.216889492E0
1.754248500E0,-4.185500553E-1,-6.539540604E-1,1.939130253E0,2.088795395E0
1.764257500E0,-7.657504848E-1,-6.138684735E-1,7.788181347E-1,1.252903027E0
1.774266500E0,-1.099591415E0,-6.219750533E-1,-1.464435160E-1,1.271770400E0
1.784275500E0,-1.460872452E0,-6.991951373E-1,-8.365167046E-1,1.822850064E0
1.794284500E0,-1.798659376E0,-8.328943545E-1,-1.048371853E0,2.242314005E0
1.804293500E0,-2.005109358E0,-1.076232666E0,-6.124297661E-1,2.356652394E0
1.814302500E0,-2.056113450E0,-1.342264021E0,2.464683259E-1,2.467796965E0
1.824311500E0,-2.021104270E0,-1.536419647E0,1.045137758E0,2.745498267E0
1.834320500E0,-1.838619247E0,-1.684728425E0,1.423154987E0,2.871271621E0
1.844329500E0,-1.489562985E0,-1.782286295E0,1.379255846E0,2.701423516E0
1.854338500E0,-1.023935973E0,-1.821824582E0,9.417934835E-1,2.292261907E0
1.864347500E0,-6.072715717E-1,-1.714665877E0,2.979127139E-1,1.843260648E0
1.874356500E0,-3.044375487E-1,-1.462880970E0,-4.088390726E-1,1.549145681E0
1.884365500E0,-2.268632696E-1,-1.174286087E0,-1.097956241E0,1.623552483E0
1.894374500E0,-2.504495488E-1,-9.038701969E-1,-1.755104928E0,1.989999904E0
1.904383500E0,-2.709571959E-1,-6.942109707E-1,-2.309603990E0,2.426853367E0
1.914392500E0,-2.661628445E-1,-4.415805566E-1,-2.749585918E0,2.797509386E0
1.924401500E0,-2.811395372E-1,-2.273529008E-1,-3.058100218E0,3.079400222E0
1.934410500E0,-2.984457607E-1,-7.557409286E-2,-3.274232605E0,3.288674576E0
1.944419500E0,-4.192157608E-1,1.006805751E-1,-3.397786610E0,3.425030260E0
1.954428500E0,-5.178168467E-1,2.804999980E-1,-3.379404134E0,3.430333341E0
1.964438500E0,-4.788232273E-1,3.884702969E-1,-3.282780649E0,3.340184073E0
1.974447500E0,-3.474697669E-1,3.880630383E-1,-3.150236549E0,3.193010880E0
1.984456500E0,-1.141347990E-1,4.296753332E-1,-2.984315373E0,3.017248066E0
1.994465500E0,4.910265125E-2,5.278088611E-1,-2.716884195E0,2.768113616E0
2.004474500E0,1.231394380E-1,6.551968861E-1,-2.488679647E0,2.576426336E0
2.014483500E0,1.143208867E-1,8.124755850E-1,-2.342109831E0,2.481665631E0
2.024492500E0,-5.272631697E-2,9.542047834E-1,-2.246066975E0,2.440922713E0
2.034501500E0,-2.389933915E-1,1.081548370E0,-2.125936514E0,2.397179755E0
2.044510500E0,-3.099944501E-1,1.119025221E0,-1.871482061E0,2.202443895E0
2.054519500E0,-2.822719967E-1,1.135892099E0,-1.308400456E0,1.755517045E0
2.064528500E0,-3.440668336E-1,1.234116844E0,-5.964504951E-1,1.413216036E0
2.074537500E0,-5.565370356E-1,1.283404486E0,7.926719427E-2,1.401122349E0
2.084546500E0,-7.853820728E-1,1.268099107E0,5.264517224E-1,1.581787521E0
2.094555500E0,-1.023808723E0,1.332231368E0,7.927649134E-1,1.857821554E0
2.104564500E0,-1.176436839E0,1.442075700E0,8.687278461E-1,2.053843721E0
2.114573500E0,-1.314520737E0,1.528580285E0,8.573684603E-1,2.190799656E0
2.124582500E0,-1.213987731E0,1.466805914E0,7.081481016E-1,2.031442722E0
2.134591500E0,-9.595849527E-1,1.382328850E0,5.076932698E-1,1.757665721E0
2.144600500E0,-6.872676214E-1,1.267668460E0,3.847467899E-1,1.492430970E0
2.154609500E0,-5.041651330E-1,1.140425446E0,4.045957482E-1,1.310896792E0
2.164618500E0,-4.917744080E-1,1.029689999E0,7.055332267E-1,1.341596324E0
2.174627500E0,-5.790889790E-1,9.556630790E-1,1.183174732E0,1.627433074E0
2.184636500E0,-6.253143981E-1,8.971140316E-1,1.719322307E0,2.037621377E0
2.194645500E0,-5.459900108E-1,9.325455272E-1,2.162672231E0,2.417622268E0
2.204654500E0,-4.753196853E-1,1.081758285E0,2.377183185E0,2.654643042E0
2.214663500E0,-4.286806122E-1,1.319527415E0,2.287706752E0,2.675541412E0
2.224672500E0,-2.935407142E-1,1.573312654E0,1.852693788E0,2.448255120E0
2.234681750E0,-2.460545257E-1,1.682627521E0,1.252536158E0,2.112019183E0
2.244690750E0,-3.411358436E-1,1.581218382E0,7.387506741E-1,1.778307565E0
2.254699750E0,-5.818283629E-1,1.300248561E0,4.125812906E-1,1.483035362E0
2.264708750E0,-9.800925998E-1,7.836382869E-1,6.434515840E-1,1.410212895E0
2.274717750E0,-1.252134747E0,5.587833166E-2,1.664255569E0,2.083437163E0
2.284726750E0,-1.051743650E0,-5.235883409E-1,3.105478452E0,3.320287017E0
2.294735750E0,-6.967862307E-1,-9.245371807E-1,4.354792210E0,4.506050959E0
2.304744750E0,-3.005907021E-1,-1.287776157E0,4.959874365E0,5.133135096E0
2.314753750E0,2.132060742E-1,-1.464386044E0,4.723352153E0,4.949741294E0
2.324762750E0,7.106679592E-1,-1.403228261E0,3.538905067E0,3.872718370E0
2.334771750E0,8.473714757E-1,-1.182247071E0,1.919136869E0,2.408076593E0
2.344780750E0,7.519387036E-1,-9.886618406E-1,4.073983186E-1,1.307225091E0
2.354789750E0,7.422457011E-1,-8.172667935E-1,-6.974833649E-1,1.305885423E0
2.364798750E0,7.784083910E-1,-6.825624400E-1,-1.379790282E0,1.725002124E0
2.374807750E0,7.467099041E-1,-6.628447518E-1,-1.629943523E0,1.911453566E0
2.384816750E0,6.595552544E-1,-8.509616661E-1,-1.404905242E0,1.770002156E0
2.394825750E0,5.373468028E-1,-1.148644000E0,-7.156869167E-1,1.456136116E0
