"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.168331083E0,-6.128437489E0,3.931887075E0,-6.976160967E-1,7.314653119E0
1.178331083E0,-7.646415603E0,4.308161834E0,-2.317414116E0,9.077353037E0
1.188331083E0,-9.368690169E0,3.960506857E0,-3.852722792E0,1.087664668E1
1.198331083E0,-9.499408184E0,3.004235083E0,-2.883392431E0,1.037198805E1
1.208331083E0,-6.724437164E0,1.459761481E0,-1.090130328E0,6.966874686E0
1.218332083E0,-3.925499869E0,-2.698314607E-1,1.307051321E-1,3.936933080E0
1.228332083E0,-2.399558140E0,-2.015818825E0,1.314586810E0,3.398461900E0
1.238332083E0,-1.309494470E0,-3.377116703E0,2.142889931E0,4.208523524E0
1.248332083E0,-8.754527289E-1,-3.848219267E0,2.498255632E0,4.670812585E0
1.258332083E0,-1.205221951E0,-2.780420040E0,2.425380614E0,3.881464501E0
1.268332083E0,-1.507145270E0,-1.074318287E0,2.251335901E0,2.914474221E0
1.278332083E0,-1.564176380E0,2.849389118E-1,2.147640209E0,2.672114593E0
1.288333083E0,-1.404111190E0,1.249523672E0,2.051287451E0,2.782196587E0
1.298333083E0,-1.003131068E0,1.704532945E0,1.792144700E0,2.668986161E0
1.308333083E0,-3.306857729E-1,1.509354640E0,1.369153612E0,2.064482047E0
1.318333083E0,4.825581363E-1,8.388409728E-1,1.005515270E0,1.395556338E0
1.328333083E0,1.096241545E0,2.755997390E-1,6.291370153E-1,1.293643740E0
1.338333083E0,1.430813378E0,1.437479496E-2,3.374077320E-1,1.470128407E0
1.348333083E0,1.446505258E0,1.450840384E-1,-5.718540363E-3,1.453774240E0
1.358334083E0,1.204246635E0,6.400069892E-1,-3.877382255E-1,1.417801057E0
1.368334083E0,8.697666040E-1,1.206931969E0,-6.977038050E-1,1.643158338E0
1.378334083E0,6.052783290E-1,1.489679929E0,-8.921950614E-1,1.838891017E0
1.388334083E0,3.905475202E-1,1.446191847E0,-9.227239591E-1,1.759379928E0
1.398334833E0,1.626625228E-1,1.197225591E0,-8.422317731E-1,1.472807717E0
1.408334833E0,-8.594179094E-2,7.895366657E-1,-7.342910028E-1,1.081636452E0
1.418334833E0,-2.765633601E-1,2.722896302E-1,-6.394045798E-1,7.479753683E-1
1.428335833E0,-4.800490960E-1,-1.525901091E-1,-5.973538169E-1,7.813849618E-1
1.438335833E0,-6.953836298E-1,-3.614503133E-1,-5.140321632E-1,9.372479856E-1
1.448335833E0,-7.874114951E-1,-3.351355040E-1,-3.589547217E-1,9.279984703E-1
1.458335833E0,-8.668655080E-1,-7.485137701E-2,-1.801340032E-1,8.885419498E-1
1.468335833E0,-9.411342099E-1,2.579364699E-1,-3.848673888E-3,9.758481623E-1
1.478335833E0,-8.575061622E-1,4.667235839E-1,1.896018147E-1,9.945333429E-1
1.488335833E0,-7.008577931E-1,5.211395270E-1,3.162758581E-1,9.288802243E-1
1.498336833E0,-4.634891966E-1,4.341826594E-1,3.899273865E-1,7.452383403E-1
1.508336833E0,-2.206186625E-1,2.197868961E-1,3.629079876E-1,4.782061077E-1
1.518336833E0,8.118215740E-2,-1.479813337E-2,2.925548371E-1,3.039701632E-1
1.528336833E0,4.602814141E-1,-1.886685991E-1,1.520228561E-1,5.201593691E-1
1.538336833E0,8.488144223E-1,-2.242752188E-1,6.358810477E-3,8.779668170E-1
1.548336833E0,1.159318384E0,-8.509102106E-2,-1.679063058E-1,1.174500798E0
1.558336833E0,1.461472230E0,9.142297089E-2,-3.080524071E-1,1.496380808E0
1.568336833E0,1.763474779E0,2.656115252E-1,-3.806467589E-1,1.823536326E0
1.578337833E0,2.000865448E0,4.586474097E-1,-4.269181518E-1,2.096682880E0
1.588337833E0,2.166738093E0,7.301242769E-1,-4.179707424E-1,2.324335381E0
1.598337833E0,2.327060414E0,9.832432258E-1,-4.081356891E-1,2.559013902E0
1.608337833E0,2.574045195E0,1.096003271E0,-3.527140615E-1,2.819811881E0
1.618337833E0,2.866850073E0,9.892869079E-1,-2.684730794E-1,3.044601078E0
1.628337833E0,3.211689616E0,7.184514803E-1,-1.932376865E-1,3.296735283E0
1.638337833E0,3.511908765E0,4.180788428E-1,-1.700715297E-1,3.540793331E0
1.648338833E0,3.679715668E0,2.430792797E-1,-1.275716275E-1,3.689941660E0
1.658338833E0,3.804331528E0,8.616223097E-2,-7.088871896E-2,3.805967356E0
1.668338833E0,3.903331028E0,-5.548364460E-2,2.907348912E-2,3.903833605E0
1.678338833E0,4.070335109E0,-2.211937362E-1,1.535928700E-1,4.079233425E0
1.688338833E0,4.291346412E0,-4.132975745E-1,3.021174101E-1,4.321775543E0
1.698338833E0,4.536611381E0,-5.362785530E-1,4.578323078E-1,4.591083524E0
1.708338833E0,4.841531398E0,-5.947811151E-1,6.096961927E-1,4.915884488E0
1.718339833E0,5.196974866E0,-6.815654898E-1,7.392342389E-1,5.293349274E0
1.728339833E0,5.535966609E0,-6.384709257E-1,8.862765098E-1,5.642699484E0
1.738339833E0,5.705615970E0,-2.785414732E-1,1.027283285E0,5.804045994E0
1.748339833E0,5.650313589E0,3.250309306E-1,1.099933770E0,5.765547941E0
1.758339833E0,5.605922112E0,8.729132831E-1,9.586720562E-1,5.753902366E0
1.768339833E0,5.713413232E0,1.114184604E0,5.977491252E-1,5.851649520E0
1.778339833E0,5.931658802E0,1.021561199E0,1.800123811E-2,6.019010506E0
1.788340833E0,6.124124583E0,7.135941982E-1,-7.011793900E-1,6.205301856E0
1.798340833E0,5.907510971E0,4.732900071E-1,-1.638876314E0,6.148870211E0
1.808340833E0,4.870354078E0,3.898058009E-1,-3.222765412E0,5.853077337E0
1.818340833E0,3.019523213E0,4.817439115E-1,-5.703177681E0,6.471153938E0
1.828340833E0,1.248099875E0,8.056176782E-2,-6.924356976E0,7.036402705E0
1.838340833E0,1.746800128E-1,-1.156479269E0,-4.952544880E0,5.088777672E0
1.848340833E0,-1.874474081E-1,-2.605408198E0,-9.712880087E-1,2.786877967E0
1.858341833E0,-1.776796344E-1,-3.732965384E0,1.755874422E0,4.129127703E0
1.868341833E0,-1.881426421E-1,-4.582038984E0,2.267308155E0,5.115776107E0
1.878341833E0,-4.688420302E-1,-5.184518543E0,1.892691082E0,5.539072567E0
1.888341833E0,-1.058201899E0,-5.417525994E0,1.785025277E0,5.801352807E0
1.898341833E0,-1.872434573E0,-5.295909755E0,1.932280386E0,5.940233906E0
1.908341833E0,-2.642110878E0,-4.872376045E0,2.033844183E0,5.904008839E0
1.918341833E0,-3.254152097E0,-4.091982670E0,1.807536911E0,5.531818664E0
1.928342833E0,-3.701528998E0,-3.161029340E0,1.306126328E0,5.039780689E0
1.938342833E0,-4.141312705E0,-2.220450323E0,5.497916146E-1,4.731082474E0
1.948342833E0,-4.052771827E0,-1.351700842E0,-1.370178044E-1,4.274438972E0
1.958342833E0,-3.301998693E0,-6.033566415E-1,-7.843075007E-2,3.357586333E0
1.968342833E0,-2.580784403E0,-1.608060318E-1,8.748874493E-1,2.729786578E0
1.978342833E0,-2.195068730E0,9.869222939E-2,1.956913536E0,2.942376161E0
1.988342833E0,-2.075566844E0,3.016204333E-1,2.504599861E0,3.266798597E0
1.998343833E0,-1.959580305E0,4.273063338E-1,2.385307306E0,3.116446152E0
2.008343833E0,-1.677848006E0,4.841132033E-1,1.882452607E0,2.567716368E0
2.018343833E0,-1.234744835E0,4.466968703E-1,1.202863476E0,1.780733962E0
2.028343833E0,-8.687553281E-1,4.111206561E-1,5.848421641E-1,1.125076162E0
2.038343833E0,-6.795253962E-1,3.099579781E-1,4.475319989E-1,8.706971933E-1
2.048343833E0,-7.319632262E-1,6.750610471E-2,5.906715457E-1,9.429846836E-1
2.058344833E0,-1.118729644E0,-1.114841831E-1,4.132646839E-1,1.197819869E0
2.068344833E0,-1.997132294E0,-1.840598238E-1,1.858419089E-1,2.014187834E0
2.078344833E0,-3.192501978E0,-3.055556095E-1,4.924232662E-1,3.244674681E0
2.088344833E0,-4.157929907E0,-3.898613495E-1,9.848209508E-1,4.290716175E0
2.098344833E0,-4.837349469E0,-2.464519536E-1,1.209889491E0,4.992446397E0
2.108344833E0,-5.161047235E0,1.291047674E-1,1.071985248E0,5.272781901E0
2.118344833E0,-5.021597573E0,5.474952668E-1,7.306107652E-1,5.103918626E0
2.128345833E0,-4.822670034E0,9.891378039E-1,2.804837720E-1,4.931045629E0
2.138345833E0,-4.698913715E0,1.431877863E0,-1.560692024E-1,4.914714835E0
2.148345833E0,-4.683026830E0,1.700101925E0,-2.726615131E-1,4.989532157E0
2.158345833E0,-4.820983697E0,1.760584354E0,3.562715806E-2,5.132524756E0
2.168345833E0,-5.113631578E0,1.587244815E0,5.634004243E-1,5.383864231E0
2.178345833E0,-5.490699220E0,1.314123126E0,1.053511628E0,5.743220722E0
2.188345833E0,-5.865156080E0,1.081732557E0,1.209994814E0,6.085580384E0
2.198346833E0,-6.129366027E0,1.078734689E0,1.144983058E0,6.328015694E0
2.208346833E0,-6.189350858E0,1.320719955E0,9.101518607E-1,6.393804944E0
2.218346833E0,-5.963489875E0,1.608046285E0,6.532662085E-1,6.210940434E0
2.228346833E0,-5.336174267E0,1.614787540E0,9.022144116E-2,5.575879708E0
2.238346833E0,-4.170526564E0,1.269619968E0,-4.897860988E-1,4.386925701E0
2.248346833E0,-2.473686216E0,9.074101013E-1,-4.756451925E-1,2.677453069E0
2.258347833E0,-3.360383141E-1,6.994614780E-1,-6.669543942E-1,1.023228358E0
2.268347833E0,2.190654082E0,4.116954374E-1,-2.167541792E0,3.109131046E0
